"","Var1","Var2","Var3","Freq"
"1","B","TLS1_boundaries_0","TLS1",0.475456621004566
"2","Plasma","TLS1_boundaries_0","TLS1",0.0833333333333333
"3","CD8_Teff","TLS1_boundaries_0","TLS1",0.0045662100456621
"4","CD8_CTL","TLS1_boundaries_0","TLS1",0.140981735159817
"5","Mac_like CD8_CTL","TLS1_boundaries_0","TLS1",0.00570776255707763
"6","Epi_like CD8_Teff","TLS1_boundaries_0","TLS1",0.00114155251141553
"7","Fb_like CD8_Teff","TLS1_boundaries_0","TLS1",0.0194063926940639
"8","CD8_Exhausted","TLS1_boundaries_0","TLS1",0
"9","CD8_proliferation","TLS1_boundaries_0","TLS1",0.0496575342465753
"10","Fb_like Mac_like Treg","TLS1_boundaries_0","TLS1",0
"11","Treg","TLS1_boundaries_0","TLS1",0.0410958904109589
"12","Th17","TLS1_boundaries_0","TLS1",0.021689497716895
"13","monocytes","TLS1_boundaries_0","TLS1",0.00799086757990868
"14","Alveolar_Marcophage","TLS1_boundaries_0","TLS1",0.0251141552511416
"15","Interstital_Mph_perivascular","TLS1_boundaries_0","TLS1",0
"16","Alveolar_Mph_Proliferating","TLS1_boundaries_0","TLS1",0.000570776255707763
"17","Epithelial_like Alveolar_Marcophage","TLS1_boundaries_0","TLS1",0.000570776255707763
"18","cDC2","TLS1_boundaries_0","TLS1",0.000570776255707763
"19","cDC3","TLS1_boundaries_0","TLS1",0.00970319634703196
"20","pDC","TLS1_boundaries_0","TLS1",0.00171232876712329
"21","mast_cell","TLS1_boundaries_0","TLS1",0.000570776255707763
"22","Lymphatic_endothelial_cell","TLS1_boundaries_0","TLS1",0.00114155251141553
"23","Arterial_endothelial_cell","TLS1_boundaries_0","TLS1",0.0313926940639269
"24","Pericytes","TLS1_boundaries_0","TLS1",0.0245433789954338
"25","tCAF","TLS1_boundaries_0","TLS1",0.000570776255707763
"26","mCAF","TLS1_boundaries_0","TLS1",0.0445205479452055
"27","InfCAF","TLS1_boundaries_0","TLS1",0.00114155251141553
"28","T_like Fibroblast","TLS1_boundaries_0","TLS1",0.0045662100456621
"29","AT1_like Fibroblast","TLS1_boundaries_0","TLS1",0.000570776255707763
"30","AT1","TLS1_boundaries_0","TLS1",0.00171232876712329
"31","AT2","TLS1_boundaries_0","TLS1",0
"32","AT1_proliferation","TLS1_boundaries_0","TLS1",0
"33","Alveolar_Marcophage_like Epithelial","TLS1_boundaries_0","TLS1",0
"34","Tumor","TLS1_boundaries_0","TLS1",0
"35","B","TLS1_boundaries_150","TLS1",0.0249835634451019
"36","Plasma","TLS1_boundaries_150","TLS1",0.259040105193951
"37","CD8_Teff","TLS1_boundaries_150","TLS1",0.0111768573307035
"38","CD8_CTL","TLS1_boundaries_150","TLS1",0.0532544378698225
"39","Mac_like CD8_CTL","TLS1_boundaries_150","TLS1",0.0118343195266272
"40","Epi_like CD8_Teff","TLS1_boundaries_150","TLS1",0.00262984878369494
"41","Fb_like CD8_Teff","TLS1_boundaries_150","TLS1",0.0407626561472715
"42","CD8_Exhausted","TLS1_boundaries_150","TLS1",0.0019723865877712
"43","CD8_proliferation","TLS1_boundaries_150","TLS1",0.0203813280736358
"44","Fb_like Mac_like Treg","TLS1_boundaries_150","TLS1",0
"45","Treg","TLS1_boundaries_150","TLS1",0.0131492439184747
"46","Th17","TLS1_boundaries_150","TLS1",0.00657462195923734
"47","monocytes","TLS1_boundaries_150","TLS1",0.0144641683103222
"48","Alveolar_Marcophage","TLS1_boundaries_150","TLS1",0.111768573307035
"49","Interstital_Mph_perivascular","TLS1_boundaries_150","TLS1",0
