X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,change
SOX2-OT,1.56034280311883e-212,-3.218229687,0.251,0.841,7.80327435839728e-209,SOX2-OT,CD8_Exhausted,down
SLC40A1,1.1472261135387e-195,5.37346261064559,0.63,0.046,5.73727779380706e-192,SLC40A1,CD8_Exhausted,up
LAMC2,2.0172344769099e-117,-3.683773529,0.085,0.533,1.00881896190264e-113,LAMC2,CD8_Exhausted,down
GZMK,3.34241926570979e-101,3.11786137684351,0.444,0.055,1.67154387478147e-97,GZMK,CD8_Exhausted,up
ANXA2,5.03212088476223e-92,1.21340692074397,0.886,0.675,2.51656365446959e-88,ANXA2,CD8_Exhausted,up
ITGA5,6.26099145638397e-74,3.11414913608317,0.359,0.055,3.13112182733763e-70,ITGA5,CD8_Exhausted,up
MMP13,3.6400157913875e-73,-7.153918719,0.005,0.287,1.82037189727289e-69,MMP13,CD8_Exhausted,down
SFRP1,2.71394560246253e-70,-6.772888489,0.003,0.274,1.35724419579151e-66,SFRP1,CD8_Exhausted,down
LAMA3,2.31892702625054e-63,-4.023534674,0.038,0.315,1.1596954058279e-59,LAMA3,CD8_Exhausted,down
VCAM1,3.55292682990502e-60,3.3637712620298,0.279,0.033,1.7768187076355e-56,VCAM1,CD8_Exhausted,up
LDHA,1.04459334290255e-58,0.949998846391379,0.86,0.671,5.22401130785565e-55,LDHA,CD8_Exhausted,up
ITGB4,2.81250507873278e-55,-4.123300279,0.022,0.26,1.40653378987426e-51,ITGB4,CD8_Exhausted,down
VEGFC,1.0896202003521e-54,4.20006048104529,0.212,0.01,5.44919062196085e-51,VEGFC,CD8_Exhausted,up
CD70,1.54836351729912e-52,2.33028402955027,0.312,0.061,7.74336595001289e-49,CD70,CD8_Exhausted,up
PKM,6.8425481384327e-52,0.814990286140604,0.888,0.711,3.42195832403019e-48,PKM,CD8_Exhausted,up
PMAIP1,2.65441519182889e-49,2.1183343945799,0.336,0.085,1.32747303743363e-45,PMAIP1,CD8_Exhausted,up
CD27,7.96690985166518e-49,2.39214058869369,0.3,0.064,3.98425161681776e-45,CD27,CD8_Exhausted,up
AKR1B1,1.05439059739269e-46,1.9487117221035,0.34,0.093,5.27300737756085e-43,AKR1B1,CD8_Exhausted,up
COL5A1,1.57275232771184e-46,1.72588443109102,0.38,0.121,7.86533439088693e-43,COL5A1,CD8_Exhausted,up
NPTN,3.07139631042614e-46,1.71521951578883,0.444,0.178,1.53600529484411e-42,NPTN,CD8_Exhausted,up
THBS1,1.15205932487231e-45,1.81958315975982,0.539,0.282,5.76144868368641e-42,THBS1,CD8_Exhausted,up
LOXL1,2.52605561849047e-45,3.13584333193148,0.23,0.032,1.26328041480708e-41,LOXL1,CD8_Exhausted,up
ITGB6,1.93270847901658e-44,-4.789145829,0.005,0.188,9.66547510356193e-41,ITGB6,CD8_Exhausted,down
GIMAP4,3.44655760565216e-44,1.45587323678944,0.46,0.18,1.72362345858664e-40,GIMAP4,CD8_Exhausted,up
TNC,7.32756651759778e-42,1.83204707708707,0.336,0.102,3.66451601545065e-38,TNC,CD8_Exhausted,up
CD8A,3.03197285072042e-41,0.795289792116835,0.854,0.658,1.51628962264528e-37,CD8A,CD8_Exhausted,up
TFPI,3.8222716351825e-41,3.05355742962639,0.222,0.037,1.91151804475477e-37,TFPI,CD8_Exhausted,up
UBD,4.56029128803056e-40,-2.360751039,0.106,0.331,2.28060167314408e-36,UBD,CD8_Exhausted,down
CCL18,5.12591640637823e-39,1.87169487963587,0.354,0.124,2.56347079482975e-35,CCL18,CD8_Exhausted,up
TNFSF4,2.02198752673689e-38,2.37010158511458,0.286,0.08,1.01119596212112e-34,TNFSF4,CD8_Exhausted,up
F13A1,2.8510658143467e-38,5.66686811375483,0.138,0.002,1.42581801375479e-34,F13A1,CD8_Exhausted,up
LASP1,1.46591846178624e-36,-1.249916362,0.325,0.545,7.33105822739297e-33,LASP1,CD8_Exhausted,down
MXRA7,2.69284561912016e-36,1.20275009827195,0.506,0.254,1.34669209412199e-32,MXRA7,CD8_Exhausted,up
SERPINE1,2.58666379774112e-35,1.8186714458599,0.346,0.132,1.29359056525033e-31,SERPINE1,CD8_Exhausted,up
ENPP2,1.64946395751876e-34,3.75573542616869,0.152,0.013,8.24896925155132e-31,ENPP2,CD8_Exhausted,up
MCAM,1.85601028400116e-34,3.31431049046393,0.162,0.017,9.28190743028982e-31,MCAM,CD8_Exhausted,up
LOX,2.98654735874519e-34,1.81545383906959,0.253,0.066,1.49357233410847e-30,LOX,CD8_Exhausted,up
JUP,5.40097618210909e-34,-3.876629482,0.011,0.161,2.70102818867276e-30,JUP,CD8_Exhausted,down
CKAP4,9.9185800037825e-34,1.46403683576939,0.394,0.172,4.96028185989163e-30,CKAP4,CD8_Exhausted,up
PDGFC,1.10733509712394e-33,2.16898306402755,0.24,0.061,5.5377828207168e-30,PDGFC,CD8_Exhausted,up
ZYX,1.37478249664926e-33,1.08915597140247,0.462,0.216,6.87528726574297e-30,ZYX,CD8_Exhausted,up
PTGS2,2.71743506868928e-32,-6.333336579,0.002,0.134,1.35898927785151e-28,PTGS2,CD8_Exhausted,down
PRNP,4.0806889420373e-32,1.40803812719864,0.377,0.16,2.04075253991285e-28,PRNP,CD8_Exhausted,up
MYH9,6.83822594683813e-32,0.670787636555106,0.819,0.642,3.41979679601375e-28,MYH9,CD8_Exhausted,up
CCL13,1.09410616565839e-31,3.46995486729147,0.148,0.016,5.47162493445761e-28,CCL13,CD8_Exhausted,up
RHOA,2.11222020967287e-31,0.863656794518612,0.631,0.412,1.0563213268574e-27,RHOA,CD8_Exhausted,up
CDH11,1.71758200028761e-30,2.42180431103657,0.199,0.044,8.58962758343832e-27,CDH11,CD8_Exhausted,up
EPCAM,2.70010204596177e-30,-1.95052966,0.092,0.28,1.35032103318548e-26,EPCAM,CD8_Exhausted,down
