"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","change"
"SOX2-OT",5.87382267482068e-76,1.12543039709653,0.929,0.785,2.93749871967782e-72,"SOX2-OT","boundaries_0","up"
"CD3E",6.34973207450081e-27,-1.48194806256483,0.159,0.363,3.17550101045785e-23,"CD3E","boundaries_0","down"
"CR2",1.54788636315161e-26,2.97209393673826,0.307,0.086,7.74097970212118e-23,"CR2","boundaries_0","up"
"GZMK",5.59108588716332e-20,-2.53736910513449,0.025,0.12,2.79610205217038e-16,"GZMK","boundaries_0","down"
"CD8A",4.94711465212051e-17,-1.92076679255878,0.092,0.223,2.47405203752547e-13,"CD8A","boundaries_0","down"
"LBH",1.51089040061429e-15,-1.1026142251793,0.118,0.261,7.55596289347206e-12,"LBH","boundaries_0","down"
"CDC27",2.05436194071767e-13,1.57673421290324,0.251,0.108,1.02738640655291e-09,"CDC27","boundaries_0","up"
"SLC40A1",4.30470376197549e-13,-1.8614230149201,0.022,0.091,2.15278235136394e-09,"SLC40A1","boundaries_0","down"
"CXCR4",4.64169367538464e-13,0.85773358382921,0.555,0.422,2.32131100705986e-09,"CXCR4","boundaries_0","up"
"SOST",6.37004993927567e-13,0.882404752333422,0.509,0.363,3.18566197463176e-09,"SOST","boundaries_0","up"
"ALG11",2.34091462628333e-12,1.45303398126607,0.268,0.13,1.1706914046043e-08,"ALG11","boundaries_0","up"
"LAMP1",4.56654426507907e-12,-0.973076293336108,0.11,0.228,2.28372878696604e-08,"LAMP1","boundaries_0","down"
"CTSC",6.2193354756888e-12,-1.27455576690524,0.06,0.153,3.11028967139197e-08,"CTSC","boundaries_0","down"
"HNRNPD",6.98908454337531e-12,-0.915300626675424,0.183,0.318,3.49524118014199e-08,"HNRNPD","boundaries_0","down"
"CBX3",1.46508543660269e-11,-1.26649158651286,0.084,0.188,7.32689226845005e-08,"CBX3","boundaries_0","down"
"TCF7",2.15459809020494e-11,-1.29055460760301,0.06,0.15,1.07751450491149e-07,"TCF7","boundaries_0","down"
"PAIP2",3.55473469050311e-11,-1.15863744407887,0.068,0.161,1.77772281872061e-07,"PAIP2","boundaries_0","down"
"GIMAP4",3.69258652944391e-11,-1.3024285371041,0.078,0.175,1.8466625233749e-07,"GIMAP4","boundaries_0","down"
"DAZAP2",1.07127442374425e-10,-1.13619864461631,0.091,0.192,5.35744339314498e-07,"DAZAP2","boundaries_0","down"
"CD2",1.47172346382018e-10,-1.15369510339131,0.091,0.192,7.3600890425647e-07,"CD2","boundaries_0","down"
"TUBB",1.78342503036014e-10,-0.851446613464244,0.265,0.403,8.91890857683105e-07,"TUBB","boundaries_0","down"
"CD82",4.74842117079858e-10,-1.2600793765275,0.086,0.179,2.37468542751637e-06,"CD82","boundaries_0","down"
"IKZF1",5.49541320717061e-10,-1.11978019264339,0.096,0.195,2.74825614490602e-06,"IKZF1","boundaries_0","down"
"FUCA1",1.42976971525119e-09,-1.83189633150762,0.027,0.086,7.15027834597123e-06,"FUCA1","boundaries_0","down"
"LPCAT1",3.03388581141993e-09,-1.44186219870958,0.058,0.135,1.51724629429111e-05,"LPCAT1","boundaries_0","down"
"IL2RG",4.57848172515895e-09,-1.09178527927335,0.106,0.201,2.28969871075199e-05,"IL2RG","boundaries_0","down"
"CXCL2",5.76062262499304e-09,-2.10750364679239,0.016,0.062,2.88088737475902e-05,"CXCL2","boundaries_0","down"
"CNOT1",1.33303367134592e-08,-0.826261517774267,0.093,0.184,6.66650139040095e-05,"CNOT1","boundaries_0","down"
"HECA",1.66004978761004e-08,-1.03372175976144,0.104,0.195,8.30190898783783e-05,"HECA","boundaries_0","down"
"HSPA8",1.84055034852034e-08,-0.518526257128102,0.35,0.484,9.20459229295024e-05,"HSPA8","boundaries_0","down"
"HNRNPH1",2.03567658772466e-08,-0.531130787608133,0.33,0.469,0.00010180418615211,"HNRNPH1","boundaries_0","down"
"CYP1B1",2.99906062547541e-08,-1.53005047749648,0.036,0.095,0.000149983021880025,"CYP1B1","boundaries_0","down"
"CD44",3.00477547378349e-08,-0.608897687550683,0.221,0.341,0.000150268821443912,"CD44","boundaries_0","down"
"CXCL13",4.63444724470468e-08,-1.24841704810697,0.269,0.378,0.000231768706707681,"CXCL13","boundaries_0","down"
"ITGB6",5.0499600388927e-08,-2.07968583789424,0.013,0.053,0.000252548501545024,"ITGB6","boundaries_0","down"
"PTGES3",6.40093226520231e-08,-0.718010072553279,0.139,0.239,0.000320110622582767,"PTGES3","boundaries_0","down"
"AQP4",6.75934206333989e-08,-3.72892362969337,0.003,0.027,0.000338034696587628,"AQP4","boundaries_0","down"
"IFNAR1",7.48138563332186e-08,-1.25156803029138,0.041,0.1,0.000374144095522426,"IFNAR1","boundaries_0","down"
"PKM",1.07094023920207e-07,-0.644451594306985,0.194,0.305,0.000535577213624954,"PKM","boundaries_0","down"
"POU2AF1",1.30800183857205e-07,1.00940177608654,0.247,0.141,0.000654131719469883,"POU2AF1","boundaries_0","up"
"JAK1",1.33038325204252e-07,-1.16024650628369,0.053,0.119,0.000665324664346466,"JAK1","boundaries_0","down"
"PDE4DIP",1.81500994080364e-07,-1.43663071016129,0.031,0.084,0.0009076864713959,"PDE4DIP","boundaries_0","down"
"APMAP",1.83382904410324e-07,-0.8781384419344,0.043,0.104,0.000917097904956031,"APMAP","boundaries_0","down"
"CANX",2.66756871781152e-07,-0.896233939633716,0.095,0.177,0.00133405111577754,"CANX","boundaries_0","down"
