,class,cell
0,0,haigimgc-1
1,0,ocelkinj-1
2,0,glomohej-1
3,0,bipgdidb-1
4,0,haegbjih-1
5,0,bjloaopb-1
6,0,gmgaohca-1
7,0,bjbgkfmc-1
8,0,bjndifnl-1
9,0,bjfcmcfj-1
10,0,hadhncfk-1
11,0,gppgjnej-1
12,0,haebcllp-1
13,0,glgbipci-1
14,0,hagomejg-1
15,0,habkgiha-1
16,0,gpockoec-1
17,0,hajeakjc-1
18,0,glpiipmi-1
19,0,gpoclhfj-1
20,0,haanfnfm-1
21,0,bjapjkhc-1
22,0,bjocfhcc-1
23,0,hagcooaf-1
24,0,hacaldil-1
25,0,gmffmdfj-1
26,0,bjbbnkij-1
27,0,gmfdjkkg-1
28,0,cemmdadm-1
29,0,cemdphbk-1
30,0,hamiggma-1
31,0,cejeeoie-1
32,0,habahgof-1
33,0,cepnjnkp-1
34,0,gmfeibke-1
35,0,bjnoconf-1
36,0,bjkgkepp-1
37,0,bjjhdpee-1
38,0,cefjohme-1
39,0,bjknmpah-1
40,0,hacdijij-1
41,0,bjbbambp-1
42,0,bjndpoai-1
43,0,bjnjlpmp-1
44,0,hafggnbg-1
45,0,glpojbjn-1
46,0,bjfjlibi-1
47,0,haepmhjj-1
48,0,bjkhkofi-1
49,0,hamoaoml-1
50,0,gldceadi-1
51,0,hajkohci-1
52,0,glompaee-1
53,0,bjjbidbm-1
54,0,hakkmfca-1
55,0,hakejimb-1
56,0,gloijaoc-1
57,0,hadmmfbn-1
58,0,handdpid-1
59,0,bjkmekdf-1
60,0,bjondlch-1
61,0,hakhbpkd-1
62,0,bjllbodb-1
63,0,gmednopg-1
64,0,glepdnjg-1
65,0,bjfkjihn-1
66,0,bjfcmalj-1
67,0,hacghllc-1
68,0,bjgifhgk-1
69,0,bjncnocl-1
70,0,haekbala-1
71,0,haaihjpa-1
72,0,hakidlbn-1
73,0,celebhdo-1
74,0,bjncjkba-1
75,0,cemjldhk-1
76,0,hagdnokf-1
77,0,glgicglc-1
78,0,gleobipa-1
79,0,glepppii-1
80,0,bjomoeph-1
81,0,hagbeheo-1
82,0,hamcflpe-1
83,0,haaeimde-1
84,0,bjffinca-1
85,0,bjaheiig-1
86,0,hanfbade-1
87,0,bjledifm-1
88,0,ceklopbn-1
89,0,cepemofi-1
90,0,haaoedlh-1
91,0,cejjdlmf-1
92,0,glphhidm-1
93,0,gpoiklin-1
94,0,hanbemjj-1
95,0,bjgjdkkf-1
96,0,bjfdgdob-1
97,0,haaepghp-1
98,0,hajmoeca-1
99,0,celcllpf-1
100,0,hamaanfa-1
101,0,bjbggnbf-1
102,0,bjffjmef-1
103,0,bjjmjdem-1
104,0,bjbhlhoh-1
